gene           ec_prob        s_prob         outdeg    indeg
ZNF333         0.0            0.0            84        0
DLX1           0.0            0.0            87        0
SOX21          0.90909        0.90909        88        19
BARHL1         0.0            0.0            90        20
E2F6           0.0            0.0            90        70
FOXC1          1.0            1.0            92        21
ZNF263         0.0            0.0            92        434
SMAD4          0.72727        0.72727        94        132
ZBTB33         0.90909        0.90909        94        31
BRF1           0.0            0.0            95        21
MYC            0.45455        0.45455        95        306
E2F1           0.0            0.0            96        296
ETS1           0.90909        0.90909        97        302
MTERF          0.09091        0.09091        98        19
E2F5           0.12121        0.12121        98        0
CDC5L          0.0            0.0            98        1
CIZ1           0.0            0.0            100       12
PKNOX2         0.0            0.0            100       29
STAT5B         0.0            0.0            100       86
RFXANK         0.0            0.0            101       41
MXD4           0.0            0.0            102       76
MXD3           0.0            0.0            103       76
RB1            0.09091        0.09091        103       0
LEF1           1.0            1.0            103       37
ATF7           0.0            0.0            104       98
TFAP2A         0.54545        0.54545        104       880
SOX2           1.0            1.0            106       52
BACH2          0.36364        0.36364        106       122
FOXA3          0.0            0.0            107       52
ETS2           1.0            1.0            107       158
TCF7           0.0            0.0            108       22
RELA           0.0            0.0            108       170
MAFA           0.0            0.0            109       26
TCF12          0.09091        0.09091        110       141
MECP2          0.0            0.0            110       25
USF1           0.36364        0.36364        112       195
RFX2           0.0            0.0            113       25
DLX2           0.0            0.0            116       2
CBFB           0.0            0.0            117       45
FOXN1          0.0            0.0            117       0
NR2F6          0.0            0.0            118       33
ATF2           0.0303         0.0303         118       130
VDR            0.0            0.0            118       295
RFX5           0.0            0.0            119       41
ZBTB16         0.63636        0.63636        119       7
TFCP2          0.0            0.0            120       127
ARNTL          0.81818        0.81818        120       0
SOX15          0.0            0.0            120       19
EMX2           1.0            1.0            121       4
FOXM1          0.0            0.0            121       65
TCF3           0.0            0.0            122       360
AHR            1.0            1.0            124       201
NR1H2          0.30303        0.30303        124       89
TFAP4          0.0            0.0            124       174
FOXO1          0.13636        0.13636        126       64
PPARD          0.0            0.0            126       36
NF1            0.0            0.0            127       167
GLI1           0.0            0.0            129       45
XBP1           0.0            0.0            129       30
UBP1           0.0            0.0            129       0
CREM           0.0            0.0            130       158
HMGA1          0.0            0.0            132       30
ERF            0.0            0.0            132       113
NFATC3         0.0            0.0            134       43
EP300          0.0            0.0            134       105
ETV6           0.36364        0.36364        135       0
CNOT3          0.36364        0.36364        135       612
USF2           1.0            1.0            135       159
TCF4           0.21212        0.21212        136       121
EPAS1          0.72727        0.72727        137       11
PBX1           0.90909        0.90909        138       29
CHURC1         0.0            0.0            142       0
KLF15          0.72727        0.72727        145       580
HIF1A          0.45455        0.45455        145       145
RFX3           0.0            0.0            146       25
RXRA           0.72727        0.72727        146       275
NFKB1          0.21212        0.21212        146       254
NR4A1          0.0            0.0            147       24
HSF1           0.0            0.0            147       66
IRF1           0.36364        0.36364        150       150
POU2F1         0.0            0.0            150       150
MAF            0.09091        0.09091        151       155
TBP            0.31818        0.31818        152       32
ETV4           0.0            0.0            152       0
IRF9           0.0            0.0            153       133
ZEB1           1.0            1.0            154       49
GABPB1         0.0303         0.0303         154       153
STAT1          0.22727        0.22727        154       174
ZIC2           0.0            0.0            155       49
SP4            1.0            1.0            155       1013
E2F7           0.81818        0.81818        156       70
TGIF2          0.0            0.0            157       25
SP2            0.0            0.0            157       985
IRX3           1.0            1.0            157       7
SIX4           0.81818        0.81818        157       11
SOX11          0.0            0.0            158       19
HMBOX1         0.0            0.0            159       11
TOPORS         0.0            0.0            160       47
HOMEZ          0.0            0.0            160       10
HSF2           0.90909        0.90909        161       51
NFYC           0.0            0.0            162       409
PITX3          0.0            0.0            164       17
ZFX            0.0            0.0            164       746
NR2C2          0.63636        0.63636        166       53
IRF7           0.0            0.0            166       143
EGR3           0.0            0.0            166       853
MXI1           0.0            0.0            167       76
CLOCK          0.81818        0.81818        168       0
RXRB           0.0            0.0            168       108
STAT6          0.0            0.0            168       64
EBF1           0.72727        0.72727        170       120
ATF5           0.0            0.0            171       151
GTF2IRD1       0.0            0.0            171       22
CREB1          0.36364        0.36364        172       250
TRIM28         0.0            0.0            172       494
TFEB           0.0            0.0            175       76
KLF11          0.0            0.0            175       303
CTF1           0.0            0.0            176       167
SOX12          0.0            0.0            178       19
ING4           0.0            0.0            178       0
HINFP          0.0            0.0            178       0
PBX3           0.0            0.0            179       11
ARNT           0.0            0.0            179       209
SMAD3          0.0            0.0            180       52
SREBF2         0.0            0.0            181       314
ESRRA          0.0            0.0            184       27
SOX4           0.54545        0.54545        186       19
NFE2L2         0.0            0.0            186       229
RELB           0.0            0.0            186       77
KLF12          0.0            0.0            188       0
ZBTB7A         0.0            0.0            189       108
RFX1           0.0            0.0            191       126
ZNF628         0.0            0.0            192       19
GTF2I          0.0            0.0            194       232
ELK4           0.0            0.0            197       153
BCL6           1.0            1.0            197       62
NFATC4         0.0            0.0            198       55
IRF2           0.0            0.0            200       152
CEBPB          0.0            0.0            205       85
STAT3          0.0            0.0            206       238
ELK1           0.45455        0.45455        207       261
NR2F2          0.27273        0.27273        207       269
NFIL3          1.0            1.0            208       11
IRX5           0.63636        0.63636        210       2
SP3            0.0            0.0            211       1085
MZF1           0.0            0.0            211       257
FOXP1          0.72727        0.72727        212       90
GLI3           1.0            1.0            216       126
SOX9           1.0            1.0            216       51
SMAD7          0.0            0.0            217       30
NFYA           1.0            1.0            220       409
ZNF143         0.0            0.0            221       199
DBP            0.0            0.0            222       0
MAFK           0.0            0.0            223       55
POU3F2         1.0            1.0            223       84
FOSL1          0.0            0.0            224       206
ZBTB7B         0.0            0.0            225       801
CTCF           0.0            0.0            226       639
ARID5B         1.0            1.0            226       90
NFIB           0.31818        0.31818        230       54
FOSB           0.0            0.0            232       206
DEAF1          0.0            0.0            235       222
SMAD6          0.0            0.0            238       30
PATZ1          0.0            0.0            239       437
MAFF           0.0            0.0            239       55
ARID3A         0.06061        0.06061        243       0
YY1            0.0            0.0            245       222
TP53           0.0            0.0            251       127
ZNF384         0.0            0.0            258       12
TFE3           0.18182        0.18182        267       76
HIC1           0.0            0.0            268       550
ATF1           0.0            0.0            269       177
HBP1           0.45455        0.45455        270       0
NR6A1          0.0            0.0            282       27
DDIT3          0.0            0.0            285       18
ATF4           0.0            0.0            294       167
MAFG           0.0            0.0            294       77
CREB5          0.22727        0.22727        296       250
SREBF1         0.0            0.0            297       270
MAX            0.0            0.0            300       332
MAZ            0.0            0.0            301       496
SRF            0.0            0.0            311       115
EGR1           0.0            0.0            312       857
GLIS3          1.0            1.0            318       88
NR2F1          0.42424        0.42424        318       258
OAZ1           0.0            0.0            318       18
FOS            0.15152        0.15152        320       206
TEF            0.0            0.0            320       69
JUNB           0.0            0.0            340       154
BHLHE40        0.81818        0.81818        417       103
JUN            0.54545        0.54545        418       206
FOXO3          0.0            0.0            434       18
MEF2D          0.0            0.0            462       32
TGIF1          0.0            0.0            467       33
HES1           0.0            0.0            527       130
