gene           ec_prob        s_prob         outdeg    indeg
OTX1           0.30303        0.30303        32        50
LHX3           0.0            0.0            36        29
NR5A2          0.90909        0.90909        38        138
ASCL1          0.0            0.0            40        329
RUNX3          0.0            0.0            47        134
HNF1A          0.0            0.0            50        183
HOXB9          0.0            0.0            55        63
FOXG1          0.0            0.0            56        201
LEF1           1.0            1.0            62        128
MEOX1          0.0            0.0            62        7
SOX21          1.0            1.0            66        64
TFAP2C         0.90909        0.90909        67        2932
TP63           0.90909        0.90909        68        165
IRF8           0.0            0.0            74        534
ELF1           0.37879        0.37879        75        595
LHX2           0.0            0.0            77        4
SPI1           0.0            0.0            77        934
NR2E3          0.0            0.0            78        55
CDX1           0.0            0.0            79        94
GLI2           0.27273        0.27273        79        212
CEBPZ          0.0            0.0            86        658
HOXC4          0.0            0.0            88        35
HNF4A          0.0            0.0            88        455
IRF3           0.0            0.0            91        607
SOX2           1.0            1.0            92        200
HOXB13         0.0            0.0            95        38
SMAD5          0.81818        0.81818        97        111
DLX4           0.0            0.0            98        6
MYOG           0.0            0.0            99        968
NANOG          0.0            0.0            101       377
ETV7           0.0            0.0            106       561
SOX8           0.07576        0.07576        107       64
LMX1B          0.0            0.0            109       17
HOXC13         0.0            0.0            110       64
PITX2          0.63636        0.63636        115       93
PITX1          0.0            0.0            115       61
LMO2           0.0            0.0            116       237
FOXJ1          0.0            0.0            117       178
TLX2           0.0            0.0            121       74
RARB           1.0            1.0            126       288
FGF9           0.0            0.0            134       21
MSX2           1.0            1.0            137       47
ISL1           0.45455        0.45455        138       10
MYCN           1.0            1.0            141       357
E2F4           0.0            0.0            147       247
PRRX2          0.0            0.0            150       30
SOX11          0.0            0.0            152       64
NKX3-1         0.13636        0.13636        161       38
ESR2           0.0            0.0            164       47
ZIC2           0.36364        0.36364        166       188
ITGB2          0.0            0.0            169       0
RARG           0.0            0.0            170       288
HOXC11         0.0            0.0            175       35
FOXD1          0.63636        0.63636        178       82
ELF3           0.0            0.0            184       142
DLX3           0.0            0.0            194       4
PPARG          0.54545        0.54545        200       263
TFAP2A         1.0            1.0            204       3019
GTF2A2         0.45455        0.45455        207       40
HAND2          0.72727        0.72727        209       265
NFIX           0.0            0.0            211       547
NFE2           0.0            0.0            214       286
SMAD9          0.31818        0.31818        214       111
TBX15          0.0            0.0            215       64
HOXC9          0.0            0.0            215       25
MTF1           0.45455        0.45455        223       548
HOXC8          0.0            0.0            225       8
STAT2          0.0            0.0            226       253
ATF6           0.81818        0.81818        229       312
HOXB3          0.0            0.0            232       23
BPTF           0.0            0.0            235       163
PURA           0.0            0.0            237       575
RREB1          0.45455        0.45455        238       715
PPARA          0.0            0.0            240       518
ATF3           0.0            0.0            242       479
THRA           0.0            0.0            243       337
TFDP1          0.0            0.0            245       247
STAT5A         0.0            0.0            246       454
CUX1           0.0            0.0            248       87
PKNOX2         1.0            1.0            249       117
SOX15          0.0            0.0            252       64
NRF1           0.0            0.0            254       703
CEBPA          0.63636        0.63636        254       466
ZNF219         0.0            0.0            257       2041
CBFB           0.0            0.0            260       134
HOXA11         0.0            0.0            261       55
SMAD4          0.81818        0.81818        264       527
NFYB           0.0            0.0            264       1434
RFXAP          0.36364        0.36364        265       124
SOX17          0.90909        0.90909        266       0
HOXB5          0.0            0.0            266       5
NR1I3          0.0            0.0            267       409
MTERF          0.21212        0.21212        268       84
MSX1           0.24242        0.24242        273       42
HOXA2          0.0            0.0            274       2
FOXJ2          0.0            0.0            278       200
GATA2          0.0            0.0            279       163
ZNF148         0.0            0.0            279       1775
ONECUT2        1.0            1.0            280       37
ETS1           1.0            1.0            280       1069
ELF4           0.54545        0.54545        283       0
HOXA13         0.0            0.0            283       96
IRX2           0.0            0.0            286       6
HOXA5          0.0            0.0            287       107
FOXO4          0.54545        0.54545        290       141
HOXB4          0.0            0.0            292       7
ZNF263         0.0            0.0            295       1532
FOXN1          0.0            0.0            295       5
CEBPG          0.81818        0.81818        297       243
STAT5B         0.0            0.0            300       352
GATA3          0.72727        0.72727        304       96
ZNF589         0.0            0.0            305       185
VDR            0.0            0.0            306       1171
ZNF333         0.0            0.0            309       0
FOXA3          0.0            0.0            309       200
BRF1           0.0            0.0            315       69
BACH2          0.0            0.0            316       420
FOXJ3          0.72727        0.72727        316       0
HOXC6          0.0            0.0            320       43
E2F5           0.09091        0.09091        320       0
HOXA10         0.0            0.0            324       55
RARA           0.0            0.0            325       288
E2F6           0.0            0.0            325       247
SIX4           1.0            1.0            327       42
CIZ1           0.0            0.0            340       33
HOXB7          0.0            0.0            343       43
DLX1           0.0            0.0            344       2
NR1H3          0.0            0.0            347       371
FOXM1          0.0            0.0            363       255
RB1            0.09091        0.09091        364       0
ZBTB33         0.90909        0.90909        366       111
ATF7           0.0            0.0            366       312
HOXB6          0.0            0.0            368       18
TCF7           0.0            0.0            370       80
E2F2           0.0            0.0            373       247
IRX3           0.81818        0.81818        374       16
HOXC5          0.0            0.0            374       17
TCF3           0.0            0.0            379       1488
RFXANK         0.0            0.0            383       124
MAFA           0.0            0.0            384       89
ARNTL          0.81818        0.81818        390       0
SOX9           0.60606        0.60606        394       215
ETS2           1.0            1.0            398       565
HOXA1          0.0            0.0            400       3
RFX5           0.0            0.0            402       124
MXD3           0.0            0.0            402       265
MYC            0.72727        0.72727        403       1068
TFCP2          0.0            0.0            407       495
CDC5L          0.0            0.0            410       3
MXD4           0.0            0.0            413       265
USF1           0.0            0.0            413       686
BRCA1          0.0            0.0            415       0
PBX1           0.90909        0.90909        420       121
EP300          0.0            0.0            420       378
USF2           0.63636        0.63636        421       528
FOXO1          0.45455        0.45455        422       279
ATF2           0.72727        0.72727        426       449
HOXB8          0.0            0.0            431       57
E2F1           0.0            0.0            432       1027
GTF2IRD1       0.0            0.0            433       106
NF1            0.0            0.0            435       658
AHR            1.0            1.0            436       688
TCF12          0.09091        0.09091        440       557
NR1H2          0.0303         0.0303         447       371
HSF2           1.0            1.0            453       203
CHURC1         0.0            0.0            454       0
CNOT3          0.63636        0.63636        454       2093
TFEB           0.0            0.0            461       265
HOXC10         0.0            0.0            468       62
HOXA3          0.0            0.0            474       21
EGR3           0.0            0.0            481       2931
HSF1           0.0            0.0            482       274
FOXC1          0.81818        0.81818        483       77
RXRA           0.37879        0.37879        484       1123
RFX2           0.0            0.0            485       79
IRF6           1.0            1.0            487       316
XBP1           0.0            0.0            487       115
EBF3           0.24242        0.24242        489       319
HIF1A          0.0            0.0            491       526
UBP1           0.0            0.0            491       0
MEIS1          0.90909        0.90909        496       204
HOXA4          0.0            0.0            496       20
DEAF1          0.0            0.0            497       804
ETV4           0.0            0.0            501       0
DLX2           0.0            0.0            507       11
NFATC3         0.0            0.0            512       175
PRRX1          0.72727        0.72727        513       19
E2F7           0.72727        0.72727        514       247
IRF1           0.0            0.0            516       559
ZFX            0.0            0.0            516       2558
TFAP4          0.0            0.0            520       739
PITX3          0.0            0.0            523       73
STAT1          0.18182        0.18182        526       636
MAFB           1.0            1.0            527       198
PPARD          0.0            0.0            528       148
POU2F1         0.63636        0.63636        532       527
CTF1           0.0            0.0            533       658
SP4            0.30303        0.30303        537       3435
TOPORS         0.06061        0.06061        538       193
SP2            0.0            0.0            542       3358
MECOM          1.0            1.0            543       92
RELA           0.0            0.0            543       655
HMBOX1         0.0            0.0            544       26
HOMEZ          0.0            0.0            545       29
RXRB           0.0            0.0            546       500
CREM           0.0            0.0            548       563
MAF            0.09091        0.09091        548       553
TCF4           0.68182        0.68182        550       482
REL            0.0            0.0            553       293
GLI1           0.0            0.0            560       171
STAT6          0.0            0.0            565       253
ARID3A         0.0            0.0            566       0
NR2C2          0.06061        0.06061        567       188
HOXA9          0.0            0.0            567       121
TGIF2          0.0            0.0            567       107
HMGA1          0.0            0.0            569       91
HINFP          0.0            0.0            569       0
ETV6           0.0303         0.0303         570       0
IRF9           0.0            0.0            578       493
RFX3           0.0            0.0            579       79
CLOCK          0.72727        0.72727        580       0
CREB1          0.15152        0.15152        586       889
ING4           0.0            0.0            587       0
NR2F6          0.0            0.0            592       163
ELK4           0.0            0.0            594       558
PBX3           0.0            0.0            598       43
NFYC           0.0            0.0            607       1434
ZNF628         0.0            0.0            611       65
PRDM1          0.09091        0.09091        612       350
HOXA7          0.0            0.0            614       0
TBP            0.68182        0.68182        616       128
NFKB1          0.37879        0.37879        617       928
ERF            0.0            0.0            619       418
SMAD3          0.0            0.0            620       197
GTF2I          0.0            0.0            621       941
MXI1           0.0            0.0            621       265
SOX4           0.0            0.0            627       64
ARNT           0.0            0.0            629       770
RELB           0.0            0.0            631       299
ELK1           0.45455        0.45455        631       920
ZBTB7A         0.0            0.0            632       396
IRF7           0.0            0.0            640       533
EGR2           0.30303        0.30303        646       2926
TRIM28         0.0            0.0            647       1698
KLF11          0.0            0.0            654       1017
GLI3           0.90909        0.90909        661       513
EPAS1          0.72727        0.72727        662       63
HIC1           0.0            0.0            664       1945
GABPB1         0.04545        0.04545        674       550
SREBF2         0.0            0.0            675       1122
ESRRA          0.0            0.0            678       100
ZEB1           1.0            1.0            684       158
BCL6           0.37879        0.37879        685       228
MZF1           0.0            0.0            685       932
SOX18          0.0            0.0            704       64
STAT3          0.0            0.0            704       967
CEBPB          0.0            0.0            707       339
NR4A1          0.0            0.0            724       98
FOSL1          0.0            0.0            724       713
NFATC4         0.0            0.0            731       232
SMAD6          0.0            0.0            732       111
RUNX1          1.0            1.0            734       134
SP3            0.0            0.0            736       3688
CTCF           0.0            0.0            738       2364
MAFK           0.0            0.0            738       198
EBF1           0.09091        0.09091        743       510
NFIB           1.0            1.0            745       227
ATF5           0.0            0.0            752       527
SMAD7          0.0            0.0            754       111
PATZ1          0.0            0.0            774       1553
MEIS2          0.06061        0.06061        778       88
ZNF143         0.0            0.0            779       682
FOXP1          0.90909        0.90909        801       373
RFX1           0.0            0.0            804       432
NR2F2          0.90909        0.90909        806       1038
YY1            0.0            0.0            822       790
ZBTB7B         0.0            0.0            832       2812
DBP            0.0            0.0            838       0
NFYA           0.30303        0.30303        840       1434
ARID5B         1.0            1.0            841       336
TP53           0.0            0.0            851       481
NFIL3          1.0            1.0            855       42
CEBPD          0.90909        0.90909        857       277
FOSB           0.0            0.0            872       713
HBP1           0.07576        0.07576        873       0
ATF1           0.0            0.0            880       624
MAFF           0.0            0.0            891       198
NFE2L2         0.0            0.0            906       810
TFE3           0.54545        0.54545        935       265
ZNF384         0.0            0.0            956       33
MAFG           0.0            0.0            995       292
ATF4           0.0            0.0            1004      560
MAX            0.0            0.0            1014      1179
CREB5          0.72727        0.72727        1018      889
MAZ            0.0            0.0            1019      1845
SRF            0.0            0.0            1071      456
TEF            0.0            0.0            1095      210
EGR1           0.0            0.0            1105      2949
OAZ1           0.0            0.0            1131      71
FOS            0.0            0.0            1141      713
GLIS3          1.0            1.0            1143      276
NR6A1          0.0            0.0            1148      107
SREBF1         0.0            0.0            1159      967
DDIT3          0.0            0.0            1182      80
JUN            0.0            0.0            1344      713
JUNB           0.0            0.0            1364      524
BHLHE40        0.81818        0.81818        1449      408
MEF2D          0.0            0.0            1603      120
HES1           0.0            0.0            1606      508
TGIF1          0.0            0.0            1913      148
