gene           ec_prob        s_prob         outdeg    indeg
GTF2A1         0.0            0.54545        415       16
BARX1          0.0            0.5303         1         11
FOXI1          0.38182        0.90909        0         41
EN2            0.0            0.45455        5         4
GBX2           0.0            0.45455        65        9
ERG            0.0            0.42424        28        167
LHX6           0.21818        0.63636        11        5
NR1H4          0.21212        0.60606        35        38
ZBTB6          0.0            0.37879        44        25
ALX3           0.0            0.36364        0         7
GSX2           0.0            0.36364        2         4
SHOX2          0.0            0.36364        46        5
MAD1L1         0.0            0.36364        83        83
EGR4           0.0            0.36364        119       973
HOXA3          0.0            0.36364        196       9
CREM           0.0            0.36364        216       196
RXRG           0.67273        1.0            0         78
HOXA1          0.12727        0.45455        147       1
DMRT3          0.0            0.31818        0         3
FOXF2          0.0            0.31818        8         75
TFAP2B         0.0            0.30303        4         1021
POU3F1         0.0            0.30303        115       107
HOXA4          0.0            0.30303        154       12
FOSL2          0.07273        0.36364        343       287
TBX5           0.0            0.27273        61        21
TFCP2L1        0.2            0.45455        36        73
NANOG          0.29091        0.54545        41        101
EBF2           0.07273        0.31818        60        62
GCM1           0.0            0.24242        0         28
LTF            0.0            0.24242        3         8
NR3C1          0.0            0.24242        188       101
MAFK           0.0            0.24242        262       80
HOXA13         0.0            0.22727        29        19
DLX5           0.0            0.22727        54        10
FOXD1          0.32727        0.54545        30        30
VSX1           0.0            0.21212        0         1
RUNX2          0.03636        0.22727        14        35
DMRT1          0.0            0.18182        0         18
LHX8           0.0            0.18182        0         8
HOXA11         0.0            0.18182        0         21
HMX1           0.0            0.18182        0         6
HOXA10         0.0            0.18182        0         10
NR1I2          0.0            0.18182        1         117
OTP            0.0            0.18182        1         4
TAL2           0.0            0.18182        3         83
NKX2-5         0.12121        0.30303        9         31
HOXA9          0.0            0.18182        49        30
ZNF354C        0.0            0.18182        56        0
HOXA7          0.0            0.18182        89        0
DLX1           0.0            0.18182        137       1
DLX2           0.0            0.18182        200       7
RBPJ           0.83636        1.0            248       28
FGF9           0.15455        0.31818        57        3
NR4A2          0.15455        0.31818        241       0
POU2F3         0.0            0.15152        17        103
TFEB           0.0            0.15152        184       83
HOXA2          0.21818        0.36364        171       5
PROP1          0.0            0.13636        0         8
IRF4           0.0            0.13636        16        120
SOX6           0.87273        1.0            12        17
ELF5           0.50909        0.63636        21        17
EVX1           0.0            0.12121        5         2
POU4F1         0.0            0.12121        7         77
SIX3           0.0            0.12121        42        2
SIX2           0.0            0.12121        80        2
MAFA           0.0            0.12121        134       28
POU3F2         0.0            0.12121        206       108
FOXO3          0.0            0.12121        484       31
BACH2          0.03636        0.13636        119       169
FOXC1          0.27273        0.36364        98        27
HOXC11         0.0            0.09091        0         13
AIRE           0.0            0.09091        0         11
ESR2           0.0            0.09091        29        17
HOXC10         0.0            0.09091        46        21
LMO2           0.06061        0.15152        63        91
HOXA5          0.13636        0.22727        122       38
TFAP2A         0.06061        0.15152        177       1083
ZBTB7A         0.0            0.09091        233       125
BACH1          0.0            0.09091        274       157
ARX            0.03636        0.12121        53        0
HOXC9          0.0            0.07576        2         9
PAX7           0.0            0.06061        0         3
LHX5           0.0            0.06061        8         3
RAX            0.0            0.06061        20        10
LMX1B          0.0            0.06061        21        4
FOXP3          0.0            0.06061        138       12
EBF1           0.01818        0.07576        143       135
PAX4           0.15758        0.21212        30        432
DMRT2          0.00909        0.06061        53        10
NKX3-1         0.27273        0.31818        72        14
TBX15          0.0            0.04545        0         24
BRF1           0.0            0.04545        123       16
IRX5           0.0            0.04545        199       8
NFATC4         0.0            0.04545        215       67
NFATC1         0.28182        0.31818        51        61
TFAP2C         0.96364        1.0            74        1048
LEF1           0.08485        0.12121        24        43
STAT4          0.27273        0.30303        121       104
GCM2           0.0            0.0303         1         28
LHX4           0.0            0.0303         19        9
REL            0.0            0.0303         220       103
ATOH1          0.5            0.5303         25        109
PPARA          0.09697        0.12121        82        167
ISX            0.52727        0.54545        0         8
RUNX1          0.98182        1.0            233       35
FOXG1          0.0            0.01515        0         47
NFIC           0.0            0.01515        49        184
NKX6-2         0.41212        0.42424        0         7
IRF8           0.04848        0.06061        7         155
BPTF           0.04848        0.06061        113       42
CDX2           0.12727        0.13636        0         48
NR2E3          0.00909        0.01515        15        11
RREB1          0.02424        0.0303         79        213
VSX2           0.0            0.0            0         3
IKZF1          0.0            0.0            0         224
SOX10          0.0            0.0            0         17
OTX2           0.36364        0.36364        0         21
HNF4G          0.0            0.0            0         66
NHLH1          0.0            0.0            0         216
ALX1           0.0            0.0            0         9
HOXB1          0.0            0.0            0         13
CRX            0.0            0.0            0         30
IRX6           0.0            0.0            0         13
HAND1          0.0            0.0            0         109
GATA1          0.0            0.0            0         85
HOXB9          0.0            0.0            0         16
SRY            0.15152        0.15152        0         25
RORA           0.22727        0.22727        0         32
ZIC3           1.0            1.0            0         22
SOX3           0.31818        0.31818        0         17
NR5A2          0.18182        0.18182        0         38
HOXC4          0.0            0.0            0         13
ZFP42          0.5303         0.5303         0         209
TBX22          0.0            0.0            0         14
TFDP2          0.30303        0.30303        2         82
PPARG          0.54545        0.54545        2         82
POU6F1         0.0            0.0            2         18
CDX1           0.0            0.0            3         25
PAX2           0.0            0.0            4         41
HOXB13         0.0            0.0            5         6
MYCN           0.81818        0.81818        5         117
ZIC2           0.36364        0.36364        5         54
LHX2           0.0            0.0            6         1
OVOL2          0.0            0.0            7         0
ARNT2          0.72727        0.72727        7         72
POU3F4         0.0            0.0            7         11
ELF2           0.0            0.0            9         283
TFF3           0.72727        0.72727        11        100
RORB           0.0            0.0            11        0
SOX8           0.0            0.0            12        17
AR             0.0            0.0            13        72
HOXB6          0.0            0.0            13        9
EBF3           0.22727        0.22727        13        62
NEUROD1        0.81818        0.81818        14        123
PDX1           0.24242        0.24242        14        58
GLI2           0.04545        0.04545        17        64
STAT5A         0.0            0.0            18        132
HOXC13         0.0            0.0            19        10
DMBX1          0.0            0.0            20        7
SOX21          0.63636        0.63636        21        17
NR0B1          1.0            1.0            22        53
ZBTB16         0.0            0.0            22        12
ESRRB          0.0            0.0            22        19
HOXB7          0.0            0.0            23        13
ASCL1          0.18182        0.18182        23        100
SPI1           0.0            0.0            24        301
NKX2-2         0.18182        0.18182        24        29
MEOX1          0.0            0.0            25        4
MYOG           0.0            0.0            25        302
IRF3           0.0            0.0            27        173
ELF1           0.63636        0.63636        27        199
ETV7           0.0            0.0            27        194
LHX3           0.0            0.0            28        9
RUNX3          0.0            0.0            28        35
NFIX           0.0            0.0            29        146
HOXC8          0.0            0.0            30        0
CEBPZ          0.0            0.0            31        184
ZNF350         0.81818        0.81818        32        116
MSX2           0.81818        0.81818        34        16
HOXC6          0.0            0.0            34        13
HOXC5          0.0            0.0            36        10
HOXB8          0.0            0.0            36        18
PRRX2          0.0            0.0            37        9
IRF5           0.0            0.0            38        120
ONECUT1        0.22727        0.22727        38        14
SMAD5          0.07576        0.07576        44        36
THRA           0.0            0.0            45        84
E2F4           0.0            0.0            45        82
NR1H3          0.0            0.0            48        121
MYB            0.42424        0.42424        48        116
EOMES          1.0            1.0            48        3
TLX2           0.0            0.0            50        25
HNF1B          0.22727        0.22727        50        49
GFI1           0.0            0.0            52        60
FOXD3          0.0            0.0            52        52
HNF1A          0.0            0.0            53        60
FOXO4          0.04545        0.04545        55        46
DLX4           0.0            0.0            56        4
ISL1           0.0            0.0            58        0
ATF6           0.13636        0.13636        59        123
HNF4A          0.0            0.0            60        149
DLX3           0.0            0.0            61        4
SMAD9          0.90909        0.90909        66        36
PKNOX2         0.0            0.0            67        36
NR5A1          0.0            0.0            67        15
BARHL1         0.0            0.0            68        19
ATF3           0.0            0.0            68        175
ITGB2          0.0            0.0            69        0
RARA           0.0            0.0            71        78
POU3F3         0.0            0.0            73        89
FOXJ1          0.0            0.0            75        59
RARG           0.0            0.0            76        78
FOXJ2          0.54545        0.54545        76        52
SOX11          0.04545        0.04545        77        17
RARB           1.0            1.0            78        78
VAX2           0.0            0.0            79        2
THRB           0.0            0.0            79        42
PITX1          0.0            0.0            81        24
PITX2          0.60606        0.60606        81        32
SMAD4          0.01515        0.01515        82        175
GTF2A2         0.0            0.0            82        16
HOXB5          0.0            0.0            83        4
HOXB3          0.0            0.0            85        11
PURA           0.0            0.0            87        183
ZNF589         0.0            0.0            87        60
RFXAP          0.90909        0.90909        88        45
TFDP1          0.04545        0.04545        93        82
MTF1           0.22727        0.22727        94        200
ETS1           1.0            1.0            94        343
STAT2          0.0            0.0            94        70
MNX1           0.0303         0.0303         98        3
KLF15          0.48485        0.48485        98        708
MTERF          0.60606        0.60606        99        21
GATA6          0.90909        0.90909        100       6
ELF4           0.0            0.0            101       0
NR1I3          0.0            0.0            103       117
HOXB4          0.0            0.0            103       6
ZBTB33         0.63636        0.63636        103       45
MYC            1.0            1.0            103       371
CBFB           0.0            0.0            103       35
ZNF148         0.0            0.0            104       565
NRF1           0.0            0.0            105       256
OTX1           0.36364        0.36364        108       15
ZNF263         0.0            0.0            108       505
CUX1           0.54545        0.54545        109       34
ZNF219         0.0            0.0            110       688
MITF           1.0            1.0            112       83
USF1           0.0            0.0            114       223
GATA3          0.81818        0.81818        115       28
FOXJ3          0.81818        0.81818        115       0
ELF3           0.0            0.0            115       38
E2F6           0.0            0.0            115       82
RELA           0.0            0.0            116       231
ONECUT2        0.04545        0.04545        116       14
MXD4           0.0            0.0            116       83
TCF4           0.90909        0.90909        116       142
NFE2           0.0            0.0            116       114
STAT5B         0.0            0.0            117       105
GATA2          0.0            0.0            119       43
E2F5           0.0            0.0            120       0
TBX18          0.0            0.0            120       13
FOXA2          0.27273        0.27273        122       81
FOXO1          0.72727        0.72727        125       81
FOXA3          0.0            0.0            125       63
CEBPG          0.54545        0.54545        126       75
ZEB1           0.0            0.0            128       79
TCF3           0.09091        0.09091        128       478
ZNF333         0.0            0.0            129       0
NR1H2          0.45455        0.45455        130       121
CIZ1           0.0            0.0            133       14
MXD3           0.0            0.0            134       83
ATF7           0.0            0.0            134       123
MAF            1.0            1.0            134       196
XBP1           0.0            0.0            135       40
RFX5           0.0            0.0            135       45
USF2           0.0            0.0            136       170
RB1            0.75758        0.75758        136       0
MAFB           0.0            0.0            136       80
RFXANK         0.12121        0.12121        136       45
CHURC1         0.0            0.0            136       0
BRCA1          0.04545        0.04545        138       0
MECOM          1.0            1.0            140       18
RFX2           0.27273        0.27273        141       28
EGR3           0.0            0.0            142       1049
ZFX            0.0            0.0            142       899
E2F1           0.0            0.0            142       330
IRX2           0.0            0.0            143       7
MECP2          0.0            0.0            144       36
KLF12          0.68182        0.68182        144       0
CEBPA          0.01515        0.01515        145       134
FOXN1          0.0            0.0            145       1
NF1            0.0            0.0            146       184
TCF12          0.0303         0.0303         148       174
FOXM1          0.18182        0.18182        148       81
SOX18          0.0            0.0            148       17
SOX2           1.0            1.0            150       53
EP300          0.0            0.0            151       103
HIF1A          0.0            0.0            152       165
ARNT           0.0            0.0            153       247
PBX1           0.72727        0.72727        154       40
E2F2           0.0            0.0            155       82
TFCP2          0.07576        0.07576        158       145
IRX3           0.48485        0.48485        158       13
ETV6           0.01515        0.01515        159       0
ATF2           0.54545        0.54545        159       164
IRF1           0.0            0.0            160       148
CDC5L          0.0            0.0            160       3
VDR            0.0            0.0            162       362
AHR            0.30303        0.30303        163       216
PPARD          0.0            0.0            166       53
HSF1           0.0            0.0            167       77
TFAP4          0.0            0.0            169       212
NFIB           0.12121        0.12121        171       64
IRF7           0.0            0.0            171       149
NFATC3         0.0            0.0            172       53
GLI3           0.0            0.0            172       164
MEIS1          0.68182        0.68182        173       68
FOXA1          0.07576        0.07576        173       90
TCF7           0.0            0.0            178       26
DEAF1          0.0            0.0            179       280
HOMEZ          0.0            0.0            182       8
NR2C2          0.0303         0.0303         184       65
RXRA           0.18182        0.18182        184       339
E2F7           0.90909        0.90909        185       82
GLI1           0.0            0.0            186       50
ETS2           0.36364        0.36364        188       185
SOX4           0.15152        0.15152        188       17
GABPB1         0.13636        0.13636        188       189
ELK1           0.0            0.0            189       328
HSF2           0.0            0.0            189       60
UBP1           0.0            0.0            189       0
KLF11          0.0            0.0            192       338
RFX3           0.15152        0.15152        192       28
SIX4           0.63636        0.63636        192       14
MEIS2          0.54545        0.54545        194       29
FOXP1          0.60606        0.60606        194       92
HMGA1          0.0            0.0            195       26
CNOT3          0.54545        0.54545        195       728
IRF9           0.04545        0.04545        196       141
SP4            0.5303         0.5303         196       1254
CTF1           0.0            0.0            196       184
IRF6           0.48485        0.48485        197       88
NR2F2          0.90909        0.90909        201       346
SMAD3          0.0            0.0            201       67
ERF            0.0303         0.0303         202       144
TOPORS         0.27273        0.27273        202       56
SOX15          0.04545        0.04545        203       17
ZNF628         0.0            0.0            204       24
BCL6           0.13636        0.13636        206       68
EPAS1          0.5303         0.5303         208       18
TGIF2          0.0            0.0            208       33
NFYC           0.0            0.0            209       487
HMBOX1         0.0            0.0            210       8
SP2            0.0            0.0            210       1217
ARID3A         0.0            0.0            211       0
ING4           0.0            0.0            215       0
HIC1           0.0            0.0            216       664
RFX1           0.0            0.0            216       150
NR4A1          0.0            0.0            217       38
SMAD2          0.06061        0.06061        218       53
STAT6          0.0            0.0            220       70
TBP            0.5303         0.5303         220       36
PITX3          0.0            0.0            221       19
HINFP          0.0            0.0            222       0
MXI1           0.0            0.0            223       83
CLOCK          0.68182        0.68182        224       0
STAT1          0.36364        0.36364        225       201
EGR2           0.0            0.0            226       1047
GTF2I          0.0            0.0            226       302
TRIM28         0.30303        0.30303        226       588
CREB1          0.0            0.0            228       322
PBX3           0.0            0.0            231       13
POU2F1         0.18182        0.18182        232       184
NFKB1          1.0            1.0            234       320
NR2F1          0.68182        0.68182        234       330
GLIS3          1.0            1.0            236       105
GTF2IRD1       0.0            0.0            237       26
ELK4           0.0            0.0            240       191
MZF1           0.24242        0.24242        241       304
STAT3          0.0            0.0            242       310
RELB           0.0            0.0            244       105
SREBF2         0.0            0.0            245       385
PATZ1          0.0            0.0            247       507
SMAD6          0.04545        0.04545        247       36
SOX12          0.22727        0.22727        249       17
NR2F6          0.0            0.0            249       50
NFIL3          0.68182        0.68182        251       10
ARID5B         0.36364        0.36364        252       101
SOX9           1.0            1.0            258       73
FOSB           0.0            0.0            262       287
ESRRA          0.0            0.0            263       25
ATF5           0.0            0.0            266       189
ETV4           0.0            0.0            272       0
YY1            0.0            0.0            274       269
SP3            0.54545        0.54545        275       1340
CTCF           0.0            0.0            277       780
RXRB           0.22727        0.22727        280       138
HBP1           1.0            1.0            283       0
CEBPB          0.0            0.0            283       111
NFYA           0.0            0.0            286       487
FOSL1          0.0            0.0            288       287
TP53           0.0            0.0            291       188
ZNF143         0.0            0.0            292       249
DBP            0.0            0.0            298       0
NFE2L2         0.0            0.0            312       297
MAFF           0.0            0.0            318       80
TFE3           0.06061        0.06061        320       83
PRDM1          0.0            0.0            325       94
ZNF384         0.0            0.0            332       14
ZBTB7B         0.0            0.0            338       1005
OAZ1           0.0            0.0            349       22
SMAD7          0.0            0.0            352       36
MAX            0.09091        0.09091        361       405
MAZ            0.0            0.0            369       628
FOS            0.0            0.0            370       287
ATF1           0.04545        0.04545        370       217
MAFG           0.0            0.0            374       108
ATF4           0.0            0.0            375       211
TEF            0.0            0.0            376       77
EGR1           0.0            0.0            386       1054
SREBF1         0.0            0.0            386       321
NR6A1          0.0            0.0            394       33
DDIT3          0.0            0.0            396       15
CREB5          0.12121        0.12121        402       322
SRF            0.0            0.0            404       137
JUN            0.0            0.0            444       287
BHLHE40        0.81818        0.81818        473       125
JUNB           0.0            0.0            494       214
HES1           0.0            0.0            495       177
MEF2D          0.0            0.0            538       40
TGIF1          0.0            0.0            624       52
